"year","epa_id","analyte_group","analyte_name_deq","poc","wildfire_impact","site_name","start_date","end_date","parameter_epa","cas_num","n_submitted","n_void","n_obs","n_below_mdl","min_val","mean_val","max_val","sd_val","q10","q50","q90","q95","unts","mol_wght_g_mol","pah_tox_eq_factor","oregon_abc","hr24_rbc_cao","mean_pm25","mdl_min","mdl_mean","mdl_max","quarter_mean_val","nobs_q1","nobs_q2","nobs_q3","nobs_q4","km_mean","mean_ug_m3","max_ug_m3"
"2019","410292129","Carbonyls","p-Tolualdehyde","7","none","Medford - Welch & Jackson",2019-02-20,2019-12-29,"p-Tolualdehyde","104-87-0",41,0,41,40,0.00965,0.0115987804878049,0.0599,0.00774668064241774,0.00985,0.01035,0.0113,0.0114,"Micrograms/cubic meter (25 C)",NA,NA,NA,NA,7.43279132791328,0.0193,0.0208268292682927,0.0234,0.0111458928571429,5,8,14,14,0.0599,0.0115987804878049,0.0599
"2019","410292129","Carbonyls","p-Tolualdehyde","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"p-Tolualdehyde","104-87-0",1,0,1,0,0.24,0.24,0.24,NA,0.24,0.24,0.24,0.24,"Micrograms/cubic meter (25 C)",NA,NA,NA,NA,101.904166666667,0.0208,0.0208,0.0208,0.24,NA,NA,1,NA,0.24,0.24,0.24
"2019","410292129","Carbonyls","Propionaldehyde","7","none","Medford - Welch & Jackson",2019-02-20,2019-12-29,"Propionaldehyde","123-38-6",41,0,41,0,0.0488,0.27669756097561,0.786,0.152335142839407,0.105,0.257,0.463,0.522,"Micrograms/cubic meter (25 C)",NA,NA,NA,NA,7.43279132791328,0.0193,0.0208268292682927,0.0234,0.253331428571429,5,8,14,14,0.27669756097561,0.27669756097561,0.786
"2019","410292129","Carbonyls","Propionaldehyde","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"Propionaldehyde","123-38-6",1,0,1,0,1.32,1.32,1.32,NA,1.32,1.32,1.32,1.32,"Micrograms/cubic meter (25 C)",NA,NA,NA,NA,101.904166666667,0.0208,0.0208,0.0208,1.32,NA,NA,1,NA,1.32,1.32,1.32
"2019","410292129","Carbonyls","Valeraldehyde","7","none","Medford - Welch & Jackson",2019-02-20,2019-12-29,"Valeraldehyde","110-62-3",41,0,41,0,0.0401,0.201653658536585,0.896,0.173160996037735,0.0663,0.164,0.366,0.512,"Micrograms/cubic meter (25 C)",NA,NA,NA,NA,7.43279132791328,0.0193,0.0208268292682927,0.0234,0.172384732142857,5,8,14,14,0.201653658536585,0.201653658536585,0.896
"2019","410292129","Carbonyls","Valeraldehyde","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"Valeraldehyde","110-62-3",1,0,1,0,0.314,0.314,0.314,NA,0.314,0.314,0.314,0.314,"Micrograms/cubic meter (25 C)",NA,NA,NA,NA,101.904166666667,0.0208,0.0208,0.0208,0.314,NA,NA,1,NA,0.314,0.314,0.314
"2019","410292129","Metals","Antimony, Total","7","none","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Antimony, Total","7440-36-0",58,0,58,29,0.187,0.479844827586207,1.54,0.320825924365078,0.2215,0.33725,0.9074,1.079,"Nanograms/cubic meter (LC)",NA,NA,NA,"1",7.29717432950192,0.374,0.441810344827586,0.443,0.478814102564103,13,15,15,15,0.596189655172414,0.000479844827586207,0.00154
"2019","410292129","Metals","Antimony, Total","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"Antimony, Total","7440-36-0",1,0,1,0,1.26,1.26,1.26,NA,1.26,1.26,1.26,1.26,"Nanograms/cubic meter (LC)",NA,NA,NA,"1",101.904166666667,0.443,0.443,0.443,1.26,NA,NA,1,NA,1.26,0.00126,0.00126
"2019","410292129","Metals","Arsenic, Total","7","none","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Arsenic, Total","7440-38-2",58,0,58,0,0.063,0.371534482758621,1.46,0.311919086196947,0.098,0.269,0.7661,1.081,"Nanograms/cubic meter (LC)",NA,NA,"2e-04","0.2",7.29717432950192,0.037,0.0438793103448276,0.044,0.374916666666667,13,15,15,15,0.371534482758621,0.000371534482758621,0.00146
"2019","410292129","Metals","Arsenic, Total","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"Arsenic, Total","7440-38-2",1,0,1,0,0.446,0.446,0.446,NA,0.446,0.446,0.446,0.446,"Nanograms/cubic meter (LC)",NA,NA,"2e-04","0.2",101.904166666667,0.044,0.044,0.044,0.446,NA,NA,1,NA,0.446,0.000446,0.000446
"2019","410292129","Metals","Beryllium, Total","7","none","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Beryllium, Total","7440-41-7",58,0,58,58,0.0035,0.00448275862068965,0.0045,0.000131306432859722,0.0045,0.0045,0.0045,0.0045,"Nanograms/cubic meter (LC)",NA,NA,"4e-04","0.02",7.29717432950192,0.007,0.00896551724137931,0.009,0.00448333333333333,13,15,15,15,0,4.48275862068965e-06,4.5e-06
"2019","410292129","Metals","Beryllium, Total","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"Beryllium, Total","7440-41-7",1,0,1,1,0.0045,0.0045,0.0045,NA,0.0045,0.0045,0.0045,0.0045,"Nanograms/cubic meter (LC)",NA,NA,"4e-04","0.02",101.904166666667,0.009,0.009,0.009,0.0045,NA,NA,1,NA,0,4.5e-06,4.5e-06
"2019","410292129","Metals","Cadmium, Total","7","none","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Cadmium, Total","7440-43-9",58,0,58,49,0.0375,0.0651293103448276,0.388,0.0606720086580604,0.0445,0.0445,0.1191,0.1558,"Nanograms/cubic meter (LC)",NA,NA,"6e-04","0.03",7.29717432950192,0.075,0.0887586206896552,0.089,0.0652596153846154,13,15,15,15,0.104534482758621,6.51293103448276e-05,0.000388
"2019","410292129","Metals","Cadmium, Total","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"Cadmium, Total","7440-43-9",1,0,1,0,0.377,0.377,0.377,NA,0.377,0.377,0.377,0.377,"Nanograms/cubic meter (LC)",NA,NA,"6e-04","0.03",101.904166666667,0.089,0.089,0.089,0.377,NA,NA,1,NA,0.377,0.000377,0.000377
"2019","410292129","Metals","Chromium, Total","7","none","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Chromium, Total","7440-47-3",58,0,58,58,1.87,2.20905172413793,2.215,0.0453007193366042,2.215,2.215,2.215,2.215,"Nanograms/cubic meter (LC)",NA,NA,NA,NA,7.29717432950192,3.74,4.41810344827586,4.43,2.20925,13,15,15,15,0,0.00220905172413793,0.002215
"2019","410292129","Metals","Chromium, Total","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"Chromium, Total","7440-47-3",1,0,1,1,2.215,2.215,2.215,NA,2.215,2.215,2.215,2.215,"Nanograms/cubic meter (LC)",NA,NA,NA,NA,101.904166666667,4.43,4.43,4.43,2.215,NA,NA,1,NA,0,0.002215,0.002215
"2019","410292129","Metals","Cobalt, Total","7","none","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Cobalt, Total","7440-48-4",58,0,58,29,0.0375,0.105215517241379,0.289,0.0730765707568946,0.0445,0.06925,0.2222,0.24115,"Nanograms/cubic meter (LC)",NA,NA,"0.1",NA,7.29717432950192,0.075,0.0887586206896552,0.089,0.104839102564103,13,15,15,15,0.130086206896552,0.000105215517241379,0.000289
"2019","410292129","Metals","Cobalt, Total","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"Cobalt, Total","7440-48-4",1,0,1,0,0.348,0.348,0.348,NA,0.348,0.348,0.348,0.348,"Nanograms/cubic meter (LC)",NA,NA,"0.1",NA,101.904166666667,0.089,0.089,0.089,0.348,NA,NA,1,NA,0.348,0.000348,0.000348
"2019","410292129","Metals","Hexavalent Chromium [Cr(VI)]","7","none","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Hexavalent Chromium [Cr(VI)]","18540-29-9",50,0,50,47,1e-05,0.0102502,0.029,0.00406307438137323,0.0095,0.0095,0.0095,0.0166,"Nanograms/cubic meter (LC)",NA,NA,"8e-05","0.3",6.83438888888889,2e-05,0.0186404,0.02,0.0103089204545455,12,14,13,11,0.02218,1.02502e-05,2.9e-05
"2019","410292129","Metals","Lead, Total","7","none","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Lead, Total","7439-92-1",58,0,58,5,0.2215,1.53340517241379,7.64,1.23529542406245,0.5263,1.165,2.724,3.974,"Nanograms/cubic meter (LC)",NA,NA,"0.15","0.15",7.29717432950192,0.374,0.441810344827586,0.443,1.53606346153846,13,15,15,15,1.5573275862069,0.00153340517241379,0.00764
"2019","410292129","Metals","Lead, Total","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"Lead, Total","7439-92-1",1,0,1,0,6.24,6.24,6.24,NA,6.24,6.24,6.24,6.24,"Nanograms/cubic meter (LC)",NA,NA,"0.15","0.15",101.904166666667,0.443,0.443,0.443,6.24,NA,NA,1,NA,6.24,0.00624,0.00624
"2019","410292129","Metals","Manganese, Total","7","none","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Manganese, Total","7439-96-5",58,0,58,0,1.1,5.48793103448276,13.6,3.5201957474583,1.626,4.575,10.99,12.42,"Nanograms/cubic meter (LC)",NA,NA,"0.09","0.3",7.29717432950192,0.748,0.882637931034483,0.885,5.47784615384615,13,15,15,15,5.48793103448276,0.00548793103448276,0.0136
"2019","410292129","Metals","Manganese, Total","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"Manganese, Total","7439-96-5",1,0,1,0,66.4,66.4,66.4,NA,66.4,66.4,66.4,66.4,"Nanograms/cubic meter (LC)",NA,NA,"0.09","0.3",101.904166666667,0.885,0.885,0.885,66.4,NA,NA,1,NA,66.4,0.0664,0.0664
"2019","410292129","Metals","Nickel, Total","7","none","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Nickel, Total","7440-02-0",58,0,58,57,0.374,0.450344827586207,0.966,0.069481172945118,0.4425,0.4425,0.4425,0.4425,"Nanograms/cubic meter (LC)",NA,NA,"0.004","0.2",7.29717432950192,0.748,0.882637931034483,0.885,0.451425641025641,13,15,15,15,0.966,0.000450344827586207,0.000966
"2019","410292129","Metals","Nickel, Total","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"Nickel, Total","7440-02-0",1,0,1,0,1.2,1.2,1.2,NA,1.2,1.2,1.2,1.2,"Nanograms/cubic meter (LC)",NA,NA,"0.004","0.2",101.904166666667,0.885,0.885,0.885,1.2,NA,NA,1,NA,1.2,0.0012,0.0012
"2019","410292129","Metals","Selenium, Total","7","none","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Selenium, Total","7782-49-2",58,0,58,50,0.0375,0.0536206896551724,0.146,0.0243692915663516,0.0445,0.0445,0.0939,0.1196,"Nanograms/cubic meter (LC)",NA,NA,NA,"2",7.29717432950192,0.075,0.0887586206896552,0.089,0.0534487179487179,13,15,15,15,0.0921034482758621,5.36206896551724e-05,0.000146
"2019","410292129","Metals","Selenium, Total","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"Selenium, Total","7782-49-2",1,0,1,0,0.136,0.136,0.136,NA,0.136,0.136,0.136,0.136,"Nanograms/cubic meter (LC)",NA,NA,NA,"2",101.904166666667,0.089,0.089,0.089,0.136,NA,NA,1,NA,0.136,0.000136,0.000136
"2019","410292129","PAHs","Acenaphthene","7","none","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Acenaphthene","83-32-9",46,0,46,0,0.02,1.54695652173913,3.62,0.783342892325271,0.63,1.6,2.42,2.7975,"Nanograms/cubic meter (25 C)",NA,NA,"0.002",NA,7.80694444444445,0.005,0.447717391304348,0.48,1.49492467948718,8,10,15,13,1.54695652173913,0.00154695652173913,0.00362
"2019","410292129","PAHs","Acenaphthylene","7","none","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Acenaphthylene","208-96-8",46,0,46,26,0.0025,2.44222826086957,19.7,4.32403496710412,0.23,0.24,7.67,12.55,"Nanograms/cubic meter (25 C)",NA,NA,NA,NA,7.80694444444445,0.005,0.447717391304348,0.48,2.64251602564103,8,10,15,13,2.59739130434782,0.00244222826086956,0.0197
"2019","410292129","PAHs","Anthracene","7","none","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Anthracene","120-12-7",46,0,46,33,0.0025,0.526467391304348,3.07,0.633773657478002,0.225,0.235,1.245,1.7975,"Nanograms/cubic meter (25 C)",NA,"0",NA,NA,7.80694444444445,0.005,0.447717391304348,0.48,0.558692307692308,8,10,15,13,0.70891304347826,0.000526467391304348,0.00307
"2019","410292129","PAHs","Benzo(a)anthracene","7","none","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Benzo(a)anthracene","56-55-3",46,0,46,38,0.0025,0.399076086956522,2.91,0.510132705690842,0.2225,0.235,0.775,1.2225,"Nanograms/cubic meter (25 C)",NA,"0.2",NA,NA,7.80694444444445,0.005,0.447717391304348,0.48,0.433680288461538,8,10,15,13,0.617826086956522,0.000399076086956522,0.00291
"2019","410292129","PAHs","Benzo(a)pyrene","7","none","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Benzo(a)pyrene","50-32-8",46,0,46,34,0.0025,0.439402173913043,2.82,0.528746732267972,0.2225,0.235,0.83,1.375,"Nanograms/cubic meter (25 C)",NA,"1",NA,"0.002",7.80694444444445,0.005,0.447717391304348,0.48,0.473860576923077,8,10,15,13,0.612826086956522,0.000439402173913044,0.00282
"2019","410292129","PAHs","Benzo(b)fluoranthene","7","none","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Benzo(b)fluoranthene","205-99-2",46,0,46,32,0.0025,0.56875,2.57,0.639836513407049,0.2275,0.235,1.565,2.075,"Nanograms/cubic meter (25 C)",NA,"0.8",NA,NA,7.80694444444445,0.005,0.447717391304348,0.48,0.584918269230769,8,10,15,13,0.808260869565217,0.00056875,0.00257
"2019","410292129","PAHs","Benzo(e)pyrene","7","none","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Benzo(e)pyrene","192-97-2",46,0,46,37,0.0025,0.352445652173913,1.83,0.332525057172152,0.2225,0.235,0.675,0.94,"Nanograms/cubic meter (25 C)",NA,NA,NA,NA,7.80694444444445,0.005,0.447717391304348,0.48,0.372478365384615,8,10,15,13,0.525217391304348,0.000352445652173913,0.00183
"2019","410292129","PAHs","Benzo(g,h,i)perylene","7","none","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Benzo(g,h,i)perylene","191-24-2",46,0,46,33,0.0025,0.402989130434783,1.96,0.371163942350883,0.225,0.235,0.85,0.975,"Nanograms/cubic meter (25 C)",NA,"0.009",NA,NA,7.80694444444445,0.005,0.447717391304348,0.48,0.420194711538462,8,10,15,13,0.564130434782609,0.000402989130434783,0.00196
"2019","410292129","PAHs","Benzo(k)fluoranthene","7","none","Medford - Welch & Jackson",2019-01-03,2019-12-29,"Benzo(k)fluoranthene","207-08-9",46,0,46,40,0.0025,0.346684782608696,2.76,0.459847213257907,0.22,0.2325,0.495,0.59,"Nanograms/cubic meter (25 C)",NA,"0.03",NA,NA,7.80694444444445,0.005,0.447717391304348,0.48,0.388716346153846,8,10,15,13,0.568260869565217,0.000346684782608696,0.00276
